,Features,Indicator,Country Name,Country Code,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,"Desempleo, mujeres (% de participación femenina en la fuerza laboral) (estimación nacional)",Social_protection,Argentina,ARG,SL.UEM.TOTL.FE.NE.ZS,6.92999982833862,5.849999904632571,6.73000001907349,12.6999998092651,14.0600004196167,22.2999992370605,19.3099994659424,17.7999992370605,14.109999656677198,15.1800003051758,16.379999160766598,17.1900005340576,18.8299999237061,17.479999542236303,15.7447004318237,13.5213003158569,12.340800285339403,11.010450363159201,9.680100440979,9.83129978179932,9.16889953613281,8.48509979248047,8.787599563598631,8.464099884033201,8.36180019378662,8.723299980163572,9.084799766540527,9.44629955291748,10.5082998275757
1,"Desempleo, total (% de participación total en la fuerza laboral) (estimación nacional)",Social_protection,Argentina,ARG,SL.UEM.TOTL.NE.ZS,7.05999994277954,5.44000005722046,6.360000133514402,10.1000003814697,11.7600002288818,18.7999992370605,17.1100006103516,14.8199996948242,12.6499996185303,14.0500001907349,15.0,17.3199996948242,19.590000152587894,15.359999656677198,13.5221004486084,11.5059003829956,10.0775003433228,8.47000026702881,7.83739995956421,8.64529991149902,7.71390008926392,7.17950010299683,7.2165999412536594,7.09959983825684,7.26760005950928,7.627533276875816,7.987466494242352,8.347399711608888,9.220499992370607
2,"Desempleo, varones (% de participación masculina en la fuerza laboral) (estimación nacional)",Social_protection,Argentina,ARG,SL.UEM.TOTL.MA.NE.ZS,7.130000114440921,5.32999992370605,6.139999866485598,8.5,10.3400001525879,16.5,15.729999542236301,12.9099998474121,11.710000038147,13.279999732971199,14.0500001907349,17.4099998474121,20.1299991607666,13.729999542236301,11.8341999053955,9.99769973754883,8.3621997833252,7.4184498786926305,6.47469997406006,7.756999969482419,6.64739990234375,6.240300178527829,6.06440019607544,6.10489988327026,6.46859979629517,6.816733201344809,7.164866606394449,7.513000011444089,8.20289993286133
3,"Población activa, mujeres (% de la población activa total)",Social_protection,Argentina,ARG,SL.TLF.TOTL.FE.ZS,39.3851997629884,39.868670706361605,40.330351396785396,40.811693408439496,41.1869179487475,41.1760199144248,41.52410267102261,41.9648953351554,42.214900924819204,42.1300692573206,42.1350797573078,41.99141305842721,41.5100171894061,41.846345505313394,42.186232921107504,41.8453388809991,42.0720291175407,41.7815367639477,41.4977052390446,41.8192191215302,41.383958922348796,41.4441797960581,41.599605177296,41.4418411787855,41.2453685739753,41.609166560609005,41.9785045550336,42.3421908976806,43.003545889820614
4,"Población activa, total",Social_protection,Argentina,ARG,SL.TLF.TOTL.IN,13580769.0,13858142.0,14149418.0,14466817.0,14760835.0,14931890.0,15233042.0,15583456.0,15883645.0,16082632.0,16324711.0,16519968.0,16592778.0,16978859.0,17375102.0,17521844.0,17833649.0,17855169.0,17877897.0,18229085.0,18222853.0,18557537.0,18770957.0,18931350.0,19009264.0,19360544.0,19696452.0,20035267.0,20551682.0
5,Proporcin de tasas de participacin laboral femenina y masculina (%) (estimación modelado OIT),Social_protection,Argentina,ARG,SL.TLF.CACT.FM.ZS,59.69245781776999,60.819935161647905,61.948225523332994,63.1690489992485,64.12239305953871,64.04449808664761,64.9209030237275,66.0335583869408,66.6360199741813,66.33849420126549,66.3117691932239,65.928273856256,64.6705846699804,65.6237140259371,66.6088031182825,65.746507912547,66.4255042236241,65.7024184560494,65.0059932256211,65.9389981311553,64.8332940836551,65.0621927505415,65.5462900134458,65.18198217785279,64.7163446187494,65.75282141324689,66.817133414536,67.8793342668499,69.7989357071651
6,Tasa de participación en la fuerza laboral de personas entre 15 y 24 años; total (%) (estimación modelado OIT),Social_protection,Argentina,ARG,SL.TLF.ACTI.1524.ZS,48.715999603271506,48.132999420165994,47.404998779296896,46.75,46.1710014343262,45.3619995117188,45.2589988708496,45.5810012817383,45.870998382568395,45.888999938964794,46.0579986572266,45.9329986572266,45.4669990539551,46.0550003051758,46.6440010070801,44.88000106811521,45.5629997253418,44.07099914550779,42.6230010986328,42.625,40.701000213623,40.6660003662109,40.209999084472706,39.8110008239746,38.4980010986328,38.5530014038086,38.5390014648438,38.4469985961914,38.9379997253418
7,"Tasa de participación en la fuerza laboral, hombres (% de la población masculina entre 15-24 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.ACTI.1524.MA.ZS,56.47900009155271,55.9469985961914,55.2729988098145,54.6669998168945,54.1360015869141,53.426998138427706,53.35300064086911,53.6500015258789,53.926998138427706,54.0069999694824,54.1380004882813,53.965999603271506,53.45500183105471,53.7369995117188,54.0229988098145,52.949001312255895,52.9910011291504,51.6539993286133,50.3370018005371,50.9620018005371,49.27799987792971,49.25199890136721,48.931999206543,48.4160003662109,46.9379997253418,46.70199966430661,46.3899993896484,45.9869995117188,45.8419990539551
8,"Tasa de participación en la fuerza laboral, hombres (% de la población masculina entre 15-64 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.ACTI.MA.ZS,82.4919967651367,82.31300354003909,82.05799865722659,81.8030014038086,81.56199645996091,81.26300048828129,81.2149963378906,81.3010025024414,81.3939971923828,81.4440002441406,81.53399658203129,81.5550003051758,81.4779968261719,81.7020034790039,81.90899658203129,81.66400146484379,81.7239990234375,81.2969970703125,80.8399963378906,80.8300018310547,80.5500030517578,80.7699966430664,80.5970001220703,80.4179992675781,79.7539978027344,79.73500061035159,79.693000793457,79.6279983520508,79.6959991455078
9,"Tasa de participación en la fuerza laboral, mujeres (% de la población femenina entre 15-24 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.ACTI.1524.FE.ZS,41.148998260498,40.5050010681152,39.7029991149902,38.9739990234375,38.31900024414061,37.3819999694824,37.237998962402294,37.5719985961914,37.8650016784668,37.8079986572266,38.0019989013672,37.9000015258789,37.456001281738295,38.3279991149902,39.2000007629395,36.7159996032715,38.0359992980957,36.3769989013672,34.785999298095696,34.1430015563965,31.9599990844727,31.899000167846694,31.288999557495107,30.993000030517607,29.8349990844727,30.173999786377,30.4589996337891,30.6840000152588,31.8250007629395
