,INDICATOR_CODE,INDICATOR_NAME,SOURCE_NOTE,SOURCE_ORGANIZATION
0,SH.STA.WASH.P5,,,
1,SH.STA.SMSS.ZS,,,
2,SH.STA.SMSS.UR.ZS,,,
3,SH.STA.SMSS.RU.ZS,,,
4,SH.STA.POIS.P5.MA,,,
5,SH.STA.POIS.P5.FE,,,
6,SH.STA.POIS.P5,,,
7,SH.STA.ODFC.ZS,Personas que practican la defecación al aire libre (% de la población),"People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.",Programa Conjunto de Vigilancia de la OMS y Unicef para el Abastecimiento de Agua y el Saneamiento (http://www.wssinfo.org/).
8,SH.STA.ODFC.UR.ZS,"Personas que practican la defecación al aire libre, sector urbano (% de la población urbana)","People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.",Programa Conjunto de Vigilancia de la OMS y Unicef para el Abastecimiento de Agua y el Saneamiento (http://www.wssinfo.org/).
9,SH.STA.ODFC.RU.ZS,"Personas que practican la defecación al aire libre, sector rural (% de la población rural)","People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.",WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/).
10,SH.STA.HYGN.ZS,,,
11,SH.STA.HYGN.UR.ZS,,,
12,SH.STA.HYGN.RU.ZS,,,
13,SH.STA.BASS.ZS,,,
14,SH.STA.BASS.UR.ZS,,,
15,SH.STA.BASS.RU.ZS,,,
16,SH.STA.AIRP.P5,,,
17,SH.H2O.SMDW.ZS,,,
18,SH.H2O.SMDW.UR.ZS,,,
19,SH.H2O.SMDW.RU.ZS,,,
20,SH.H2O.BASW.ZS,,,
21,SH.H2O.BASW.UR.ZS,,,
22,SH.H2O.BASW.RU.ZS,,,
23,NY.GDP.TOTL.RT.ZS,Rentas totales de los recursos naturales (% del PIB),"La renta total de los recursos naturales es la suma de la renta del petróleo, la renta del gas natural, la renta del carbón (duro y blando), la renta mineral y la renta forestal.","Los cálculos se basan en fuentes y métodos descritos en ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (Banco Mundial, 2011)."
24,NY.GDP.PETR.RT.ZS,Rentas del petróleo (% del PIB),La renta del petróleo es la diferencia entre el valor de la producción de petróleo crudo a precios mundiales y los costos totales de producción.,"Los cálculos se basan en fuentes y métodos descritos en ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (Banco Mundial, 2011)."
25,NY.GDP.NGAS.RT.ZS,Renta del gas natural (% del PIB),La renta de gas natural es la diferencia entre el valor de la producción de gas natural a precios mundiales y los costos totales de producción.,"Los cálculos se basan en fuentes y métodos descritos en ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (Banco Mundial, 2011)."
26,NY.GDP.MINR.RT.ZS,Rentas mineras  (% del PIB),"La renta del mineral es la diferencia entre el valor de producción para la existencia de minerales a precios mundiales y su costo total de producción. Los minerales que se incluyen en el cálculo son estaño, oro, plomo, zinc, hierro, cobre, níquel, plata, bauxita y fosfato.","Los cálculos se basan en fuentes y métodos descritos en ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (Banco Mundial, 2011)."
27,NY.GDP.FRST.RT.ZS,Rentas forestales (% del PIB),La renta forestal es la cosecha de madera en rollo multiplicada por el producto de los precios promedio y una tarifa específica para cada región.,"Los cálculos se basan en fuentes y métodos descritos en ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (Banco Mundial, 2011)."
28,NY.GDP.COAL.RT.ZS,Rentas del carbón (% del PIB),Las rentas del carbón representan la diferencia entre el valor de la producción de carbón duro y blando a precios mundiales y su costo total de producción.,"Los cálculos se basan en fuentes y métodos descritos en ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (Banco Mundial, 2011)."
29,NY.ADJ.SVNX.GN.ZS,"Ahorro neto ajustado, excluido el daño por emisión de partículas (% del ingreso nacional bruto: INB)","El ahorro neto ajustado equivale al ahorro nacional neto más el gasto en educación y menos el agotamiento de fuentes de energía, el agotamiento de minerales, el agotamiento neto de recursos forestales, y la emisión de dióxido de carbono. Esta serie excluye el daño por emisiones de partículas.","Cálculos del personal del Banco Mundial basados en fuentes y métodos que aparecen en la publicación del Banco Mundial ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (2011)."
30,NY.ADJ.SVNX.CD,"Ahorro neto ajustado, excluido el daño por emisión de partículas (US$ actuales)","El ahorro neto ajustado equivale al ahorro nacional neto más el gasto en educación y menos el agotamiento de fuentes de energía, el agotamiento de minerales, el agotamiento neto de recursos forestales, y la emisión de dióxido de carbono. Esta serie excluye el daño por emisiones de partículas.","Cálculos del personal del Banco Mundial basados en fuentes y métodos que aparecen en la publicación del Banco Mundial ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (2011)."
31,NY.ADJ.SVNG.GN.ZS,"Ahorro neto ajustado, incluido el daño por emisión de partículas (% del INB)","El ahorro neto ajustado es igual al ahorro nacional neto más el gasto en educación y menos el agotamiento de fuentes de energía, el agotamiento de minerales, el agotamiento neto de recursos forestales, y el daño por emisiones de partículas y de dióxido de carbono.","Cálculos del personal del Banco Mundial basados en fuentes y métodos que aparecen en la publicación del Banco Mundial ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (2011)."
32,NY.ADJ.SVNG.CD," Ahorro neto ajustado, incluido el daño por emisión de partículas (US$ actuales)","El ahorro neto ajustado es igual al ahorro nacional neto más el gasto en educación y menos el agotamiento de fuentes de energía, el agotamiento de minerales, el agotamiento neto de recursos forestales, y el daño por emisiones de partículas y de dióxido de carbono.","Cálculos del personal del Banco Mundial basados en fuentes y métodos que aparecen en la publicación del Banco Mundial ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (2011)."
