,INDICATOR_CODE,INDICATOR_NAME,SOURCE_NOTE,SOURCE_ORGANIZATION
0,SP.MTR.1519.ZS,Madres adolescentes (% de las mujeres entre 15 y 19 años que tuvieron hijos o se encuentran embarazadas en la actualidad),Las madres adolescentes son el porcentaje de mujeres entre 15 y 19 años que ya tuvieron hijos o se encuentran embarazadas en la actualidad.,Encuestas demográficas y de salud realizadas por Macro International.
1,SP.M18.2024.FE.ZS,Mujeres que se casaron por primera vez antes de los 18 (% de mujeres 10-24),Mujeres que se casaron por primera vez antes de los 18 (% de mujeres 10-24),Encuesta de demografía y salud familiar
2,SP.M15.2024.FE.ZS,,,
3,SP.HOU.FEMA.ZS,Hogares encabezados por mujeres (% de hogares con jefa de hogar),Hogares cuyo jefe de hogar es mujer muestra el porcentaje de hogares con una mujer como jefa de hogar.,Encuestas demográficas y de salud realizadas por Macro International.
4,SP.DYN.WFRT,Tasa de fertilidad deseada (nacimientos por cada mujer),La tasa de fecundidad deseada es una estimación de la tasa de fecundidad total si se evitaran todos los nacimientos no deseados.,Encuestas demográficas y de salud realizadas por Macro International.
5,SP.DYN.TO65.MA.ZS,"Supervivencia hasta los 65 años, varones (% de la cohorte)","La supervivencia hasta los 65 años es el porcentaje de una cohorte de recién nacidos que llegaría a los 65 años, sujeta a las tasas de mortalidad actuales específicas por edad.","División de Población de las Naciones Unidas. 2009. Perspectivas de la población mundial: Revisión de 2008. Nueva York, Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados). Disponible en: http://esa.un.org/unpd/wpp2008/index.htm."
6,SP.DYN.TO65.FE.ZS,"Supervivencia hasta los 65 años, mujeres (% de la cohorte)","La supervivencia hasta los 65 años es el porcentaje de una cohorte de recién nacidos que llegaría a los 65 años, sujeta a las tasas de mortalidad actuales específicas por edad.","División de Población de las Naciones Unidas. 2009. Perspectivas de la población mundial: Revisión de 2008. Nueva York, Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados). Disponible en: http://esa.un.org/unpd/wpp2008/index.htm."
7,SP.DYN.TFRT.IN,"Tasa de fertilidad, total (nacimientos por cada mujer)",La tasa de fertilidad total representa la cantidad de hijos que tendría una mujer si viviera hasta el final de sus años de fertilidad y tuviera hijos de acuerdo con las tasas de fertilidad actuales específicas por edad.,"(1) División de Población de las Naciones Unidas. Perspectivas de la población mundial, (2) Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados), (3) Informes de censos y otras publicaciones de estadísticas de oficinas nacionales de estadística, (4) Eurostat: Estadísticas Demográficas, (5) Secretaría de la Comunidad del Pacífico: Programa de Estadísticas y Demografía, (6) Oficina de Censos de los Estados Unidos: Base Internacional de Datos."
8,SP.DYN.LE00.MA.IN,"Esperanza de vida al nacer, varones (años)",La esperanza de vida al nacer indica la cantidad de años que viviría un recién nacido si los patrones de mortalidad vigentes al momento de su nacimiento no cambian a lo largo de la vida del infante.,"(1) División de Población de las Naciones Unidas. Perspectivas de la población mundial, (2) Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados), (3) Informes de censos y otras publicaciones de estadísticas de oficinas nacionales de estadística, (4) Eurostat: Estadísticas Demográficas, (5) Secretaría de la Comunidad del Pacífico: Programa de Estadísticas y Demografía, (6) Oficina de Censos de los Estados Unidos: Base Internacional de Datos."
9,SP.DYN.LE00.FE.IN,"Esperanza de vida al nacer, mujeres (años)",La esperanza de vida al nacer indica la cantidad de años que viviría un recién nacido si los patrones de mortalidad vigentes al momento de su nacimiento no cambian a lo largo de la vida del infante.,"(1) División de Población de las Naciones Unidas. Perspectivas de la población mundial, (2) Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados), (3) Informes de censos y otras publicaciones de estadísticas de oficinas nacionales de estadística, (4) Eurostat: Estadísticas Demográficas, (5) Secretaría de la Comunidad del Pacífico: Programa de Estadísticas y Demografía, (6) Oficina de Censos de los Estados Unidos: Base Internacional de Datos."
10,SP.DYN.CONU.ZS,Prevalencia de uso de métodos anticonceptivos (% de mujeres entre 15 y 49 años),La tasa de prevalencia de uso de métodos anticonceptivos es el porcentaje de mujeres que utilizan cualquier método anticonceptivo o cuyas parejas sexuales utilizan cualquier método anticonceptivo. Suele medirse solo para las mujeres casadas de entre 15 y 49 años de edad.,"Encuestas de los hogares, incluidas las encuestas demográficas y de salud de Macro International y las encuestas de Indicadores Múltiples por Conglomerados de UNICEF."
11,SP.DYN.AMRT.MA,"Tasa de mortalidad, adultos, varones (por cada 1.000 varones adultos)","La tasa de mortalidad adulta es la probabilidad de morir entre los 15 y los 60 años de edad, es decir, la probabilidad de que una persona de 15 años muera antes de cumplir 60, sujeta a las tasas de mortalidad actuales específicas por edad entre esas edades.","(1) División de Población de las Naciones Unidas. 2009. Perspectivas de la población mundial: Revisión de 2008. Nueva York, Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados). Disponible en: http://esa.un.org/unpd/wpp2008/index.htm, (2) Universidad de California, Berkeley e Instituto de Investigación Demográfica Max Planck. Base de datos sobre mortalidad humana. [ www.mortality.org o  www.humanmortality.de]."
12,SP.DYN.AMRT.FE,"Tasa de mortalidad, adultos, mujeres (por cada 1.000 mujeres adultas)","La tasa de mortalidad adulta es la probabilidad de morir entre los 15 y los 60 años de edad, es decir, la probabilidad de que una persona de 15 años muera antes de cumplir 60, sujeta a las tasas de mortalidad actuales específicas por edad entre esas edades.","(1) División de Población de las Naciones Unidas. 2009. Perspectivas de la población mundial: Revisión de 2008. Nueva York, Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados). Disponible en: http://esa.un.org/unpd/wpp2008/index.htm, (2) Universidad de California, Berkeley e Instituto de Investigación Demográfica Max Planck. Base de datos sobre mortalidad humana. [ www.mortality.org o  www.humanmortality.de]."
13,SP.ADO.TFRT,Tasa de fertilidad en adolescentes (nacimientos por cada 1.000 mujeres entre 15 y 19 años de edad),La tasa de fertilidad en adolescentes es la cantidad de nacimientos por cada 1000 mujeres de entre 15 y 19 años de edad.,"División de Población de las Naciones Unidas, Perspectivas de la Población Mundial."
14,SL.UEM.TOTL.MA.ZS,"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT) ",El desempleo es la proporción de la población activa que no tiene trabajo pero que busca trabajo y está disponible para realizarlo. Las definiciones de población activa y desempleo difieren según el país,"Organización Internacional del Trabajo, base de datos sobre estadísticas de la OIT (ILOSTAT)."
15,SL.UEM.TOTL.FE.ZS,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT) ",El desempleo es la proporción de la población activa que no tiene trabajo pero que busca trabajo y está disponible para realizarlo. Las definiciones de población activa y desempleo difieren según el país,"Organización Internacional del Trabajo, base de datos sobre estadísticas de la OIT (ILOSTAT)."
16,SL.UEM.1524.MA.ZS,"Desempleo, varones jóvenes (% de la población activa masculina entre 15 y 24 años de edad) (estimación modelado OIT) ",El desempleo entre los jóvenes es la proporción de la población activa de entre 15 y 24 años que no tiene trabajo pero que busca trabajo y está disponible para realizarlo. Las definiciones de población activa y desempleo difieren según el país,"Organización Internacional del Trabajo, base de datos sobre estadísticas de la OIT (ILOSTAT)."
17,SL.UEM.1524.FE.ZS,"Desempleo, mujeres jóvenes (% de la población activa femenina entre 15 y 24 años de edad) (estimación modelado OIT) ",El desempleo entre los jóvenes es la proporción de la población activa de entre 15 y 24 años que no tiene trabajo pero que busca trabajo y está disponible para realizarlo. Las definiciones de población activa y desempleo difieren según el país,"Organización Internacional del Trabajo, base de datos sobre estadísticas de la OIT (ILOSTAT)."
18,SL.TLF.TOTL.FE.ZS,"Población activa, mujeres (% de la población activa total)",La población activa femenina como porcentaje del total muestra hasta qué punto las mujeres son parte activa de la población activa. La población activa comprende a personas de 15 años o más que satisfacen la definición de la Organización Internacional del Trabajo de población económicamente activa.,"Organización Internacional del Trabajo, base de datos de Indicadores principales sobre el mercado laboral."
19,SL.TLF.PART.MA.ZS,"Empleo de tiempo parcial, hombres (% del total de hombres empleados)",Empleo de tiempo parcial se refiere al empleo constante en el que el tiempo laboral es sustancialmente menor al normal. Las definiciones de empleo de tiempo parcial difieren según el país.,"Organización Internacional del Trabajo, base de datos de Indicadores principales sobre el mercado laboral."
20,SL.TLF.PART.FE.ZS,"Empleo de tiempo parcial, mujeres (% del total de mujeres empleadas)",Empleo de tiempo parcial se refiere al empleo constante en el que el tiempo laboral es sustancialmente menor al normal. Las definiciones de empleo de tiempo parcial difieren según el país.,"Organización Internacional del Trabajo, base de datos de Indicadores principales sobre el mercado laboral."
21,SL.TLF.CACT.MA.ZS,"Tasa de población activa, varones (% de la población masculina mayor de 15 años) (estimación modelado OIT) ",La tasa de población activa es la proporción de la población de 15 años de edad o más económicamente activa: todas las personas que aportan trabajo para la producción de bienes y servicios durante un período específico.,"Organización Internacional del Trabajo, base de datos sobre estadísticas de la OIT (ILOSTAT)."
22,SL.TLF.CACT.FE.ZS,"Tasa de población activa, mujeres (% de la población femenina mayor de 15 años) (estimación modelado OIT) ",La tasa de población activa es la proporción de la población de 15 años de edad o más económicamente activa: todas las personas que aportan trabajo para la producción de bienes y servicios durante un período específico.,"Organización Internacional del Trabajo, base de datos sobre estadísticas de la OIT (ILOSTAT)."
23,SL.TLF.0714.WK.MA.ZS,"Niños económicamente activos, que sólo trabajan, varones (% para cada edad de niños entre los 7 y 14 años)",Los niños económicamente activos son los niños que participaron de actividades económicas durante al menos una hora en la semana de referencia del estudio. Los niños que solo trabajan son a los niños que desempeñan una actividad económica y no van a la escuela.,"Entendiendo el Trabajo Infantil, proyecto basado en datos de la OIT, el UNICEF y el Banco Mundial."
24,SL.TLF.0714.WK.FE.ZS,"Niños económicamente activos, que sólo trabajan, mujeres (% para cada edad de niñas entre los 7 y 14 años)",Los niños económicamente activos son los niños que participaron de actividades económicas durante al menos una hora en la semana de referencia del estudio. Los niños que solo trabajan son a los niños que desempeñan una actividad económica y no van a la escuela.,"Entendiendo el Trabajo Infantil, proyecto basado en datos de la OIT, el UNICEF y el Banco Mundial."
25,SL.TLF.0714.SW.MA.ZS,"Niños económicamente activos, que estudian y trabajan, varones (% para cada edad de niños entre los 7 y 14 años)",Los niños económicamente activos son los niños que participaron de actividades económicas durante al menos una hora en la semana de referencia del estudio. Los niños que estudian y trabajan son los niños que van a la escuela además de desempeñar una actividad económica.,"Entendiendo el Trabajo Infantil, proyecto basado en datos de la OIT, el UNICEF y el Banco Mundial."
26,SL.TLF.0714.SW.FE.ZS,"Niños económicamente activos, que estudian y trabajan, mujeres (% para cada edad de niñas entre los 7 y 14 años)",Los niños económicamente activos son los niños que participaron de actividades económicas durante al menos una hora en la semana de referencia del estudio. Los niños que estudian y trabajan son los niños que van a la escuela además de desempeñar una actividad económica.,"Entendiendo el Trabajo Infantil, proyecto basado en datos de la OIT, el UNICEF y el Banco Mundial."
27,SL.TLF.0714.MA.ZS,"Niños económicamente activos, varones (% de niños entre los 7 y 14 años de edad)",Los niños económicamente activos son los niños que participaron de actividades económicas durante al menos una hora en la semana de referencia del estudio.,"Entendiendo el Trabajo Infantil, proyecto basado en datos de la OIT, el UNICEF y el Banco Mundial."
28,SL.TLF.0714.FE.ZS,"Niños económicamente activos, mujeres (% de niñas entre los 7 y 14 años de edad)",Los niños económicamente activos son los niños que participaron de actividades económicas durante al menos una hora en la semana de referencia del estudio.,"Entendiendo el Trabajo Infantil, proyecto basado en datos de la OIT, el UNICEF y el Banco Mundial."
29,SL.SRV.EMPL.MA.ZS,"Empleados de servicios, varones (% de empleo masculino)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","Organización Internacional del Trabajo, base de datos de los Indicadores Clave del Mercado de Trabajo."
30,SL.SRV.EMPL.FE.ZS,"Empleados de servicios, mujeres (% del empleo femenino)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","Organización Internacional del Trabajo, base de datos de los Indicadores Clave del Mercado de Trabajo."
31,SL.SRV.0714.MA.ZS,"Empleo infantil en servicios, varones (% para cada edad de niños entre 7 y 14 años)","El empleo por actividad económica se refiere a la distribución de niños económicamente activos entre las principales categorías industriales (CIIU, Revisión 2 o Revisión 3). Los servicios corresponden a las divisiones 6-9 (CIIU, Revisión 2) o a las categorías G-P (CIIU, Revisión 3), e incluyen el comercio al por mayor y al por menor, hoteles y restaurantes, transporte, intermediación financiera, actividades inmobiliarias, administración pública, educación, salud y trabajo social, otros servicios comunitarios y actividades privadas de los hogares. Los niños económicamente activos son los niños que participaron de actividades económicas durante al menos una hora en la semana de referencia del estudio.","Entendiendo el Trabajo Infantil, proyecto basado en datos de la OIT, el UNICEF y el Banco Mundial."
32,SL.SRV.0714.FE.ZS,"Empleo infantil en servicios, mujeres (% para cada edad de niñas entre 7 y 14 años)","El empleo por actividad económica se refiere a la distribución de niños económicamente activos entre las principales categorías industriales (CIIU, Revisión 2 o Revisión 3). Los servicios corresponden a las divisiones 6-9 (CIIU, Revisión 2) o a las categorías G-P (CIIU, Revisión 3), e incluyen el comercio al por mayor y al por menor, hoteles y restaurantes, transporte, intermediación financiera, actividades inmobiliarias, administración pública, educación, salud y trabajo social, otros servicios comunitarios y actividades privadas de los hogares. Los niños económicamente activos son los niños que participaron de actividades económicas durante al menos una hora en la semana de referencia del estudio.","Entendiendo el Trabajo Infantil, proyecto basado en datos de la OIT, el UNICEF y el Banco Mundial."
33,SL.MNF.0714.MA.ZS,"Empleo infantil en la industria, varones (% para cada edad de niños entre 7 y 14 años)","El empleo por actividad económica se refiere a la distribución de niños económicamente activos entre las principales categorías industriales (CIIU, Revisión 2 o Revisión 3). Las industrias manufactureras corresponden a la división 3 (CIIU, Revisión 2) o a la categoría D (CIIU, Revisión 3). Los niños económicamente activos son los niños que participaron de actividades económicas durante al menos una hora en la semana de referencia del estudio.","Entendiendo el Trabajo Infantil, proyecto basado en datos de la OIT, el UNICEF y el Banco Mundial."
34,SL.MNF.0714.FE.ZS,"Empleo infantil en la industria, mujeres (% para cada edad de niñas entre 7 y 14 años)","El empleo por actividad económica se refiere a la distribución de niños económicamente activos entre las principales categorías industriales (CIIU, Revisión 2 o Revisión 3). Las industrias manufactureras corresponden a la división 3 (CIIU, Revisión 2) o a la categoría D (CIIU, Revisión 3). Los niños económicamente activos son los niños que participaron de actividades económicas durante al menos una hora en la semana de referencia del estudio.","Entendiendo el Trabajo Infantil, proyecto basado en datos de la OIT, el UNICEF y el Banco Mundial."
35,SL.IND.EMPL.MA.ZS,"Empleados en la industria, varones (% del empleo masculino)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The industry sector consists of mining and quarrying, manufacturing, construction, and public utilities (electricity, gas, and water), in accordance with divisions 2-5 (ISIC 2) or categories C-F (ISIC 3) or categories B-F (ISIC 4).","Organización Internacional del Trabajo, base de datos de los Indicadores Clave del Mercado de Trabajo."
36,SL.IND.EMPL.FE.ZS,"Empleados en la industria, mujeres (% del empleo femenino)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The industry sector consists of mining and quarrying, manufacturing, construction, and public utilities (electricity, gas, and water), in accordance with divisions 2-5 (ISIC 2) or categories C-F (ISIC 3) or categories B-F (ISIC 4).","Organización Internacional del Trabajo, base de datos de los Indicadores Clave del Mercado de Trabajo."
37,SL.FAM.WORK.MA.ZS,"Trabajadores familiares que contribuyen, varones (% del empleo masculino)","Los trabajadores que aportan al hogar son aquellos que mantienen ""trabajos por cuenta propia"" como trabajadores independientes en un establecimiento orientado al mercado y atendido por un pariente que vive en el mismo hogar.","Organización Internacional del Trabajo, base de datos de Indicadores principales sobre el mercado laboral."
