,INDICATOR_CODE,INDICATOR_NAME,SOURCE_NOTE,SOURCE_ORGANIZATION
0,SP.UWT.TFRT,Necesidades de anticoncepción insatisfechas (% de mujeres casadas entre 15 y 49 años de edad),Las necesidades de anticoncepción insatisfechas es el porcentaje de mujeres fértiles casadas en edad reproductiva que no quieren quedar embarazadas y no utilizan métodos anticonceptivos.,"Encuestas de los hogares, incluidas las encuestas demográficas y de salud de Macro International y las encuestas de Indicadores Múltiples por Conglomerados de UNICEF."
1,SP.REG.DTHS.ZS,Exhaustividad del registro de muertes con información sobre causa de muerte (%),Completeness of death registration is the estimated percentage of deaths that are registered with their cause of death information in the vital registration system of a country.,"Organización Mundial de la Salud, fuentes de datos del Observatorio mundial de la salud/Estadísticas Sanitarias Mundiales (http://apps.who.int/gho/data/node.main.1?lang=en)."
2,SP.REG.BRTH.ZS,Exhaustividad de registro de nacimientos (%),La totalidad de inscripciones de nacimientos es el porcentaje de niños menores de 5 años cuyos nacimientos se registraron al momento del estudio. El numerador de la totalidad de inscripciones de nacimientos incluye niños cuyo certificado de nacimiento fue visto por el entrevistador o cuya madre o cuidador afirma que el nacimiento se registró.,UNICEF's State of the World's Children based mostly on household surveys and ministry of health data.
3,SP.REG.BRTH.UR.ZS,"Exhaustividad de registro de nacimientos, urbano (%)",La totalidad de inscripciones de nacimientos es el porcentaje de niños menores de 5 años cuyos nacimientos se registraron al momento del estudio. El numerador de la totalidad de inscripciones de nacimientos incluye niños cuyo certificado de nacimiento fue visto por el entrevistador o cuya madre o cuidador afirma que el nacimiento se registró.,UNICEF's State of the World's Children based mostly on household surveys and ministry of health data.
4,SP.REG.BRTH.RU.ZS,"Exhaustividad de registro de nacimientos, rural (%)",La totalidad de inscripciones de nacimientos es el porcentaje de niños menores de 5 años cuyos nacimientos se registraron al momento del estudio. El numerador de la totalidad de inscripciones de nacimientos incluye niños cuyo certificado de nacimiento fue visto por el entrevistador o cuya madre o cuidador afirma que el nacimiento se registró.,UNICEF's State of the World's Children based mostly on household surveys and ministry of health data.
5,SP.REG.BRTH.MA.ZS,,,
6,SP.REG.BRTH.FE.ZS,,,
7,SP.POP.TOTL.MA.ZS,"Población, hombres (% del total)",,
8,SP.POP.TOTL.MA.IN,"Población, hombres",,
9,SP.POP.TOTL.FE.ZS,"Población, mujeres (% del total)",La población femenina es el porcentaje de la población que es femenina. La población se basa en la definición de facto de población.,"División de Población de las Naciones Unidas. 2009. Perspectivas de la población mundial: Revisión de 2008. Nueva York, Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados). Disponible en: http://esa.un.org/unpd/wpp2008/index.htm."
10,SP.POP.TOTL.FE.IN,"Población, mujeres","Población, mujeres",Estimaciones del Banco Mundial usando la razón de las Perspectivas de población de la Organización de Naciones Unidas y del Banco Mundial
11,SP.POP.TOTL,"Población, total","Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.","(1) División de Población de las Naciones Unidas. Perspectivas de la población mundial, (2) Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados), (3) Informes de censos y otras publicaciones de estadísticas de oficinas nacionales de estadística, (4) Eurostat: Estadísticas Demográficas, (5) Secretaría de la Comunidad del Pacífico: Programa de Estadísticas y Demografía, (6) Oficina de Censos de los Estados Unidos: Base Internacional de Datos."
12,SP.POP.GROW,Crecimiento de la población (% anual),"Annual population growth rate for year t is the exponential rate of growth of midyear population from year t-1 to t, expressed as a percentage . Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Derivado de la población total.  Fuente de la población: (1) División de Población de las Naciones Unidas.  2009. Perspectivas de la población mundial: Revisión de 2008. Nueva York, Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados). Disponible en http://esa.un.org/unpd/wpp2008/index.htm, (2) Informes de censos y otras publicaciones de estadísticas de oficinas nacionales de estadística, (3) Eurostat: Estadísticas Demográficas, (4) Secretaría de la Comunidad del Pacífico: Programa de Estadísticas y Demografía, (5) Oficina de Censos de los Estados Unidos: Base Internacional de Datos y (6) Estimaciones del Banco Mundial basadas en los datos de las fuentes mencionadas más arriba, encuestas de hogares realizadas por agencias nacionales, Macro International, Centros de Control y Prevención de Enfermedades de los Estados Unidos y estadísticas sobre refugiados del Alto Comisionado de las Naciones Unidas para los Refugiados."
13,SP.POP.DPND.YG,"Tasa de inactividad por edades, personas menores de 15 años (% de la población en edad de trabajar)","La tasa de inactividad por edad (menores) es la relación entre las personas dependientes más jóvenes, menores de 15, y la población en edad de trabajar, entre 15 y 64. Los datos se muestran como la proporción de personas dependientes por 100 personas en edad de trabajar.",Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
